Field,Class,Package,HasGetter
iPredicate,NullIsTruePredicate,org.apache.commons.collections4.functors,No
serialVersionUID,NotPredicate,org.apache.commons.collections4.functors,No
iPredicate,NotPredicate,org.apache.commons.collections4.functors,No
EMPTY_TRANSFORMER_ARRAY,ChainedTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,ChainedTransformer,org.apache.commons.collections4.functors,No
iTransformers,ChainedTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,AllPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,InstanceofPredicate,org.apache.commons.collections4.functors,No
iType,InstanceofPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,IdentityPredicate,org.apache.commons.collections4.functors,No
iValue,IdentityPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,TruePredicate,org.apache.commons.collections4.functors,No
serialVersionUID,MapTransformer,org.apache.commons.collections4.functors,No
iMap,MapTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,ConstantTransformer,org.apache.commons.collections4.functors,No
iConstant,ConstantTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,UniquePredicate,org.apache.commons.collections4.functors,No
iSet,UniquePredicate,org.apache.commons.collections4.functors,No
serialVersionUID,NullPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,ExceptionFactory,org.apache.commons.collections4.functors,No
serialVersionUID,ExceptionClosure,org.apache.commons.collections4.functors,No
serialVersionUID,PredicateTransformer,org.apache.commons.collections4.functors,No
iPredicate,PredicateTransformer,org.apache.commons.collections4.functors,No
iArgs,InstantiateTransformer,org.apache.commons.collections4.functors,No
NO_ARG_INSTANCE,InstantiateTransformer,org.apache.commons.collections4.functors,No
iParamTypes,InstantiateTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,ConstantFactory,org.apache.commons.collections4.functors,No
iConstant,ConstantFactory,org.apache.commons.collections4.functors,No
serialVersionUID,FactoryTransformer,org.apache.commons.collections4.functors,No
iFactory,FactoryTransformer,org.apache.commons.collections4.functors,No
iArgs,InvokerTransformer,org.apache.commons.collections4.functors,No
iMethodName,InvokerTransformer,org.apache.commons.collections4.functors,No
iParamTypes,InvokerTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,NotNullPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,TransformedPredicate,org.apache.commons.collections4.functors,No
iPredicate,TransformedPredicate,org.apache.commons.collections4.functors,No
iTransformer,TransformedPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,OrPredicate,org.apache.commons.collections4.functors,No
iPredicate2,OrPredicate,org.apache.commons.collections4.functors,No
iPredicate1,OrPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,SwitchClosure,org.apache.commons.collections4.functors,No
iClosures,SwitchClosure,org.apache.commons.collections4.functors,No
iPredicates,SwitchClosure,org.apache.commons.collections4.functors,No
iDefault,SwitchClosure,org.apache.commons.collections4.functors,No
serialVersionUID,NonePredicate,org.apache.commons.collections4.functors,No
iDoLoop,WhileClosure,org.apache.commons.collections4.functors,No
iPredicate,WhileClosure,org.apache.commons.collections4.functors,No
iClosure,WhileClosure,org.apache.commons.collections4.functors,No
serialVersionUID,AnyPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,AbstractQuantifierPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,StringValueTransformer,org.apache.commons.collections4.functors,No
INSTANCE,StringValueTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,IfClosure,org.apache.commons.collections4.functors,No
iPredicate,IfClosure,org.apache.commons.collections4.functors,No
iFalseClosure,IfClosure,org.apache.commons.collections4.functors,No
iTrueClosure,IfClosure,org.apache.commons.collections4.functors,No
comparator,ComparatorPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,ComparatorPredicate,org.apache.commons.collections4.functors,No
criterion,ComparatorPredicate,org.apache.commons.collections4.functors,No
object,ComparatorPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,EqualPredicate,org.apache.commons.collections4.functors,No
test,EqualPredicate,org.apache.commons.collections4.functors,No
equator,EqualPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,FalsePredicate,org.apache.commons.collections4.functors,No
serialVersionUID,AndPredicate,org.apache.commons.collections4.functors,No
iPredicate2,AndPredicate,org.apache.commons.collections4.functors,No
iPredicate1,AndPredicate,org.apache.commons.collections4.functors,No
serialVersionUID,ClosureTransformer,org.apache.commons.collections4.functors,No
iClosure,ClosureTransformer,org.apache.commons.collections4.functors,No
serialVersionUID,NullIsFalsePredicate,org.apache.commons.collections4.functors,No
iPredicate,NullIsFalsePredicate,org.apache.commons.collections4.functors,No
serialVersionUID,TransformerClosure,org.apache.commons.collections4.functors,No
iTransformer,TransformerClosure,org.apache.commons.collections4.functors,No
serialVersionUID,DefaultEquator,org.apache.commons.collections4.functors,No
inverse,UnmodifiableOrderedBidiMap,org.apache.commons.collections4.bidimap,No
inverse,UnmodifiableSortedBidiMap,org.apache.commons.collections4.bidimap,No
serialVersionUID,DualLinkedHashBidiMap,org.apache.commons.collections4.bidimap,No
inverse,UnmodifiableBidiMap,org.apache.commons.collections4.bidimap,No
inverse,TreeBidiMap,org.apache.commons.collections4.bidimap,No
serialVersionUID,TreeBidiMap,org.apache.commons.collections4.bidimap,No
entrySet,TreeBidiMap,org.apache.commons.collections4.bidimap,No
valuesSet,TreeBidiMap,org.apache.commons.collections4.bidimap,No
nodeCount,TreeBidiMap,org.apache.commons.collections4.bidimap,No
keySet,TreeBidiMap,org.apache.commons.collections4.bidimap,No
rootNode,TreeBidiMap,org.apache.commons.collections4.bidimap,No
modifications,TreeBidiMap,org.apache.commons.collections4.bidimap,No
serialVersionUID,DualHashBidiMap,org.apache.commons.collections4.bidimap,No
valueComparator,DualTreeBidiMap,org.apache.commons.collections4.bidimap,No
comparator,DualTreeBidiMap,org.apache.commons.collections4.bidimap,No
serialVersionUID,DualTreeBidiMap,org.apache.commons.collections4.bidimap,No
delegate,UnmodifiableTrie,org.apache.commons.collections4.trie,No
serialVersionUID,UnmodifiableTrie,org.apache.commons.collections4.trie,No
serialVersionUID,AbstractPatriciaTrie,org.apache.commons.collections4.trie,No
size,AbstractPatriciaTrie,org.apache.commons.collections4.trie,No
entrySet,AbstractPatriciaTrie,org.apache.commons.collections4.trie,No
root,AbstractPatriciaTrie,org.apache.commons.collections4.trie,No
values,AbstractPatriciaTrie,org.apache.commons.collections4.trie,No
keySet,AbstractPatriciaTrie,org.apache.commons.collections4.trie,No
serialVersionUID,KeyAnalyzer,org.apache.commons.collections4.trie,No
serialVersionUID,PatriciaTrie,org.apache.commons.collections4.trie,No
serialVersionUID,StringKeyAnalyzer,org.apache.commons.collections4.trie.analyzer,No
MSB,StringKeyAnalyzer,org.apache.commons.collections4.trie.analyzer,No
serialVersionUID,AbstractBitwiseTrie,org.apache.commons.collections4.trie,No
keyAnalyzer,AbstractBitwiseTrie,org.apache.commons.collections4.trie,No
serialVersionUID,TransformedSplitMap,org.apache.commons.collections4.splitmap,No
valueTransformer,TransformedSplitMap,org.apache.commons.collections4.splitmap,No
keyTransformer,TransformedSplitMap,org.apache.commons.collections4.splitmap,No
serialVersionUID,UnmodifiableCollection,org.apache.commons.collections4.collection,No
serialVersionUID,SynchronizedCollection,org.apache.commons.collections4.collection,No
collection,SynchronizedCollection,org.apache.commons.collections4.collection,No
serialVersionUID,AbstractCollectionDecorator,org.apache.commons.collections4.collection,No
collection,AbstractCollectionDecorator,org.apache.commons.collections4.collection,No
serialVersionUID,IndexedCollection,org.apache.commons.collections4.collection,No
uniqueIndex,IndexedCollection,org.apache.commons.collections4.collection,No
index,IndexedCollection,org.apache.commons.collections4.collection,No
keyTransformer,IndexedCollection,org.apache.commons.collections4.collection,No
serialVersionUID,PredicatedCollection,org.apache.commons.collections4.collection,No
predicate,Builder,org.apache.commons.collections4.collection,No
serialVersionUID,Builder,org.apache.commons.collections4.collection,No
rejected,Builder,org.apache.commons.collections4.collection,No
accepted,Builder,org.apache.commons.collections4.collection,No
serialVersionUID,TransformedCollection,org.apache.commons.collections4.collection,No
all,CompositeCollection,org.apache.commons.collections4.collection,No
serialVersionUID,CompositeCollection,org.apache.commons.collections4.collection,No
mutator,CompositeCollection,org.apache.commons.collections4.collection,No
all,CollectionMutator,org.apache.commons.collections4.collection,No
serialVersionUID,CollectionMutator,org.apache.commons.collections4.collection,No
mutator,CollectionMutator,org.apache.commons.collections4.collection,No
serialVersionUID,UnmodifiableBoundedCollection,org.apache.commons.collections4.collection,No
serialVersionUID,ArrayStack,org.apache.commons.collections4,No
