Field,Class,Package,HasGetter
iterator,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
wrappedIteratorIndex,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
CANNOT_REMOVE_MESSAGE,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
removeState,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
list,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
currentIndex,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
index,NodeListIterator,org.apache.commons.collections4.iterators,No
nodeList,NodeListIterator,org.apache.commons.collections4.iterators,No
iterator,ReverseListIterator,org.apache.commons.collections4.iterators,No
validForUpdate,ReverseListIterator,org.apache.commons.collections4.iterators,No
list,ReverseListIterator,org.apache.commons.collections4.iterators,No
keys,PermutationIterator,org.apache.commons.collections4.iterators,No
nextPermutation,PermutationIterator,org.apache.commons.collections4.iterators,No
objectMap,PermutationIterator,org.apache.commons.collections4.iterators,No
direction,PermutationIterator,org.apache.commons.collections4.iterators,No
iterator,LoopingListIterator,org.apache.commons.collections4.iterators,No
list,LoopingListIterator,org.apache.commons.collections4.iterators,No
removed,SingletonIterator,org.apache.commons.collections4.iterators,No
beforeFirst,SingletonIterator,org.apache.commons.collections4.iterators,No
removeAllowed,SingletonIterator,org.apache.commons.collections4.iterators,No
object,SingletonIterator,org.apache.commons.collections4.iterators,No
iterator,UnmodifiableMapIterator,org.apache.commons.collections4.iterators,No
iterator,AbstractOrderedMapIteratorDecorator,org.apache.commons.collections4.iterators,No
iterator,LoopingIterator,org.apache.commons.collections4.iterators,No
collection,LoopingIterator,org.apache.commons.collections4.iterators,No
predicate,FilterIterator,org.apache.commons.collections4.iterators,Yes
nextObject,FilterIterator,org.apache.commons.collections4.iterators,No
iterator,FilterIterator,org.apache.commons.collections4.iterators,Yes
nextObjectSet,FilterIterator,org.apache.commons.collections4.iterators,No
last,EnumerationIterator,org.apache.commons.collections4.iterators,No
collection,EnumerationIterator,org.apache.commons.collections4.iterators,No
enumeration,EnumerationIterator,org.apache.commons.collections4.iterators,Yes
removed,SingletonListIterator,org.apache.commons.collections4.iterators,No
beforeFirst,SingletonListIterator,org.apache.commons.collections4.iterators,No
nextCalled,SingletonListIterator,org.apache.commons.collections4.iterators,No
object,SingletonListIterator,org.apache.commons.collections4.iterators,No
iterator,UnmodifiableListIterator,org.apache.commons.collections4.iterators,No
iterator,UnmodifiableOrderedMapIterator,org.apache.commons.collections4.iterators,No
offset,SkippingIterator,org.apache.commons.collections4.iterators,No
pos,SkippingIterator,org.apache.commons.collections4.iterators,No
iterator,TransformIterator,org.apache.commons.collections4.iterators,Yes
transformer,TransformIterator,org.apache.commons.collections4.iterators,Yes
lastItemIndex,ObjectArrayListIterator,org.apache.commons.collections4.iterators,No
iterator,EntrySetMapIterator,org.apache.commons.collections4.iterators,No
canRemove,EntrySetMapIterator,org.apache.commons.collections4.iterators,No
last,EntrySetMapIterator,org.apache.commons.collections4.iterators,No
map,EntrySetMapIterator,org.apache.commons.collections4.iterators,No
iterator,AbstractListIteratorDecorator,org.apache.commons.collections4.iterators,No
iterator,IteratorEnumeration,org.apache.commons.collections4.iterators,Yes
predicate,FilterListIterator,org.apache.commons.collections4.iterators,Yes
nextObject,FilterListIterator,org.apache.commons.collections4.iterators,No
iterator,FilterListIterator,org.apache.commons.collections4.iterators,No
nextObjectSet,FilterListIterator,org.apache.commons.collections4.iterators,No
nextIndex,FilterListIterator,org.apache.commons.collections4.iterators,No
previousObject,FilterListIterator,org.apache.commons.collections4.iterators,No
previousObjectSet,FilterListIterator,org.apache.commons.collections4.iterators,No
lastItemIndex,ArrayListIterator,org.apache.commons.collections4.iterators,No
lastUsedIterator,IteratorChain,org.apache.commons.collections4.iterators,No
isLocked,IteratorChain,org.apache.commons.collections4.iterators,No
iteratorQueue,IteratorChain,org.apache.commons.collections4.iterators,No
currentIterator,IteratorChain,org.apache.commons.collections4.iterators,No
iterator,IteratorIterable,org.apache.commons.collections4.iterators,No
typeSafeIterator,IteratorIterable,org.apache.commons.collections4.iterators,No
throwOnRemove,ExtendedIterator,org.apache.commons.collections4.iterators,No
base,ExtendedIterator,org.apache.commons.collections4.iterators,No
iterator,PeekingIterator,org.apache.commons.collections4.iterators,No
exhausted,PeekingIterator,org.apache.commons.collections4.iterators,No
slot,PeekingIterator,org.apache.commons.collections4.iterators,No
slotFilled,PeekingIterator,org.apache.commons.collections4.iterators,No
iterator,AbstractMapIteratorDecorator,org.apache.commons.collections4.iterators,No
iterator,PushbackIterator,org.apache.commons.collections4.iterators,No
items,PushbackIterator,org.apache.commons.collections4.iterators,No
iterator,UnmodifiableIterator,org.apache.commons.collections4.iterators,No
iterator,BoundedIterator,org.apache.commons.collections4.iterators,No
offset,BoundedIterator,org.apache.commons.collections4.iterators,No
max,BoundedIterator,org.apache.commons.collections4.iterators,No
pos,BoundedIterator,org.apache.commons.collections4.iterators,No
lastUsedIterator,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
stack,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
root,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
transformer,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
hasNext,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
currentIterator,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
currentValue,ObjectGraphIterator,org.apache.commons.collections4.iterators,No
serialVersionUID,MapBackedSet,org.apache.commons.collections4.set,No
dummyValue,MapBackedSet,org.apache.commons.collections4.set,No
map,MapBackedSet,org.apache.commons.collections4.set,No
serialVersionUID,PredicatedNavigableSet,org.apache.commons.collections4.set,No
serialVersionUID,TransformedNavigableSet,org.apache.commons.collections4.set,No
serialVersionUID,UnmodifiableSet,org.apache.commons.collections4.set,No
serialVersionUID,UnmodifiableSortedSet,org.apache.commons.collections4.set,No
serialVersionUID,PredicatedSet,org.apache.commons.collections4.set,No
serialVersionUID,AbstractSerializableSetDecorator,org.apache.commons.collections4.set,No
setOrder,ListOrderedSet,org.apache.commons.collections4.set,No
serialVersionUID,ListOrderedSet,org.apache.commons.collections4.set,No
serialVersionUID,TransformedSet,org.apache.commons.collections4.set,No
serialVersionUID,UnmodifiableNavigableSet,org.apache.commons.collections4.set,No
serialVersionUID,AbstractNavigableSetDecorator,org.apache.commons.collections4.set,No
serialVersionUID,PredicatedSortedSet,org.apache.commons.collections4.set,No
serialVersionUID,TransformedSortedSet,org.apache.commons.collections4.set,No
serialVersionUID,AbstractSetDecorator,org.apache.commons.collections4.set,No
serialVersionUID,AbstractSortedSetDecorator,org.apache.commons.collections4.set,No
all,CompositeSet,org.apache.commons.collections4.set,No
serialVersionUID,CompositeSet,org.apache.commons.collections4.set,No
mutator,CompositeSet,org.apache.commons.collections4.set,No
all,SetMutator,org.apache.commons.collections4.set,No
serialVersionUID,SetMutator,org.apache.commons.collections4.set,No
mutator,SetMutator,org.apache.commons.collections4.set,No
iterable,FluentIterable,org.apache.commons.collections4,No
DEFAULT_TOSTRING_DELIMITER,IteratorUtils,org.apache.commons.collections4,No
serialVersionUID,ArrayListValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
initialListCapacity,ArrayListValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_MAP_CAPACITY,ArrayListValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_LIST_CAPACITY,ArrayListValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
serialVersionUID,UnmodifiableMultiValuedMap,org.apache.commons.collections4.multimap,No
serialVersionUID,AbstractMultiValuedMapDecorator,org.apache.commons.collections4.multimap,No
map,AbstractMultiValuedMapDecorator,org.apache.commons.collections4.multimap,No
serialVersionUID,LinkedHashSetValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_SET_CAPACITY,LinkedHashSetValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_MAP_CAPACITY,LinkedHashSetValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
initialSetCapacity,LinkedHashSetValuedLinkedHashMap,org.apache.commons.collections4.multimap,No
entryValuesView,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,No
valuesView,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,No
asMapView,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,No
keysMultiSetView,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,No
map,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,No
serialVersionUID,HashSetValuedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_SET_CAPACITY,HashSetValuedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_MAP_CAPACITY,HashSetValuedHashMap,org.apache.commons.collections4.multimap,No
initialSetCapacity,HashSetValuedHashMap,org.apache.commons.collections4.multimap,No
serialVersionUID,TransformedMultiValuedMap,org.apache.commons.collections4.multimap,No
valueTransformer,TransformedMultiValuedMap,org.apache.commons.collections4.multimap,No
keyTransformer,TransformedMultiValuedMap,org.apache.commons.collections4.multimap,No
serialVersionUID,ArrayListValuedHashMap,org.apache.commons.collections4.multimap,No
initialListCapacity,ArrayListValuedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_MAP_CAPACITY,ArrayListValuedHashMap,org.apache.commons.collections4.multimap,No
DEFAULT_INITIAL_LIST_CAPACITY,ArrayListValuedHashMap,org.apache.commons.collections4.multimap,No
backingMap,SplitMapUtilsTest,org.apache.commons.collections4,No
transformedMap,SplitMapUtilsTest,org.apache.commons.collections4,No
stringToInt,SplitMapUtilsTest,org.apache.commons.collections4,No
RUNS,MapPerformance,org.apache.commons.collections4,No
TWO,MapUtilsTest,org.apache.commons.collections4,No
THREE,MapUtilsTest,org.apache.commons.collections4,No
collectionA,IteratorUtilsTest,org.apache.commons.collections4,No
iterableA,IteratorUtilsTest,org.apache.commons.collections4,No
collectionEven,IteratorUtilsTest,org.apache.commons.collections4,No
emptyCollection,IteratorUtilsTest,org.apache.commons.collections4,No
collectionOdd,IteratorUtilsTest,org.apache.commons.collections4,No
a,ListUtilsTest,org.apache.commons.collections4,No
b,ListUtilsTest,org.apache.commons.collections4,No
c,ListUtilsTest,org.apache.commons.collections4,No
d,ListUtilsTest,org.apache.commons.collections4,No
e,ListUtilsTest,org.apache.commons.collections4,No
EQUALS_TWO,ListUtilsTest,org.apache.commons.collections4,No
x,ListUtilsTest,org.apache.commons.collections4,No
fullArray,ListUtilsTest,org.apache.commons.collections4,No
fullList,ListUtilsTest,org.apache.commons.collections4,No
before,SequencesComparatorTest,org.apache.commons.collections4.sequence,No
length,SequencesComparatorTest,org.apache.commons.collections4.sequence,No
after,SequencesComparatorTest,org.apache.commons.collections4.sequence,No
cString,TransformerUtilsTest,org.apache.commons.collections4,No
cInteger,TransformerUtilsTest,org.apache.commons.collections4,No
cObject,TransformerUtilsTest,org.apache.commons.collections4,No
collectionA,CollectionUtilsTest,org.apache.commons.collections4,No
collectionB,CollectionUtilsTest,org.apache.commons.collections4,No
collectionC,CollectionUtilsTest,org.apache.commons.collections4,No
collectionD,CollectionUtilsTest,org.apache.commons.collections4,No
collectionE,CollectionUtilsTest,org.apache.commons.collections4,No
collectionC2,CollectionUtilsTest,org.apache.commons.collections4,No
collectionB2,CollectionUtilsTest,org.apache.commons.collections4,No
collectionA2,CollectionUtilsTest,org.apache.commons.collections4,No
iterableB,CollectionUtilsTest,org.apache.commons.collections4,No
iterableC,CollectionUtilsTest,org.apache.commons.collections4,No
iterableA,CollectionUtilsTest,org.apache.commons.collections4,No
EQUALS_TWO,CollectionUtilsTest,org.apache.commons.collections4,No
emptyCollection,CollectionUtilsTest,org.apache.commons.collections4,No
iterableB2,CollectionUtilsTest,org.apache.commons.collections4,No
iterableA2,CollectionUtilsTest,org.apache.commons.collections4,No
outer,BulkTestSubList,org.apache.commons.collections4.list,No
outer,TestListIterator,org.apache.commons.collections4.list,No
list,CursorableLinkedListTest,org.apache.commons.collections4.list,No
setB,SetUtilsTest,org.apache.commons.collections4,No
setA,SetUtilsTest,org.apache.commons.collections4,No
iterableA,IterableUtilsTest,org.apache.commons.collections4,No
EQUALS_TWO,IterableUtilsTest,org.apache.commons.collections4,No
emptyIterable,IterableUtilsTest,org.apache.commons.collections4,No
EVEN,IterableUtilsTest,org.apache.commons.collections4,No
iterableB,IterableUtilsTest,org.apache.commons.collections4,No
value,DefaultKeyValueTest,org.apache.commons.collections4.keyvalue,No
key,DefaultKeyValueTest,org.apache.commons.collections4.keyvalue,No
factory,AbstractPropertiesFactoryTest,org.apache.commons.collections4.properties,No
mockPredicatesToVerify,AbstractMockPredicateTest,org.apache.commons.collections4.functors,No
testValue,AbstractMockPredicateTest,org.apache.commons.collections4.functors,No
FALSE_OBJECT,EqualPredicateTest,org.apache.commons.collections4.functors,No
TRUE_OBJECT,EqualPredicateTest,org.apache.commons.collections4.functors,No
b,EqualsTestObject,org.apache.commons.collections4.functors,No
FALSE_OBJECT,EqualsTestObject,org.apache.commons.collections4.functors,No
TRUE_OBJECT,EqualsTestObject,org.apache.commons.collections4.functors,No
mockObjects,MockTestCase,org.apache.commons.collections4,No
intToString,TransformedSplitMapTest,org.apache.commons.collections4.splitmap,No
objectToClass,TransformedSplitMapTest,org.apache.commons.collections4.splitmap,No
stringToInt,TransformedSplitMapTest,org.apache.commons.collections4.splitmap,No
collection,AbstractCollectionTest,org.apache.commons.collections4.collection,Yes
confirmed,AbstractCollectionTest,org.apache.commons.collections4.collection,Yes
iVal,Mock1,org.apache.commons.collections4,No
serialVersionUID,Mock2,org.apache.commons.collections4,No
iVal,Mock2,org.apache.commons.collections4,No
serialVersionUID,Mock3,org.apache.commons.collections4,No
iVal,Mock3,org.apache.commons.collections4,No
cCounter,Mock3,org.apache.commons.collections4,No
iterableA,FluentIterableTest,org.apache.commons.collections4,No
emptyIterable,FluentIterableTest,org.apache.commons.collections4,No
EVEN,FluentIterableTest,org.apache.commons.collections4,No
iterableB,FluentIterableTest,org.apache.commons.collections4,No
iterableEven,FluentIterableTest,org.apache.commons.collections4,No
iterableOdd,FluentIterableTest,org.apache.commons.collections4,No
serialVersionUID,ObjectToStringComparator,org.apache.commons.collections4.junit,No
nullBag,PredicatedSortedBagTest,org.apache.commons.collections4.bag,No
initial,IncrementingHasher,org.apache.commons.collections4.bloomfilter,No
increment,IncrementingHasher,org.apache.commons.collections4.bloomfilter,No
shape,SetOperationsTest,org.apache.commons.collections4.bloomfilter,No
values,ArrayHasher,org.apache.commons.collections4.bloomfilter,No
shape,LayerManagerTest,org.apache.commons.collections4.bloomfilter,No
shape,ShapeTest,org.apache.commons.collections4.bloomfilter,No
ary,CountingPredicateTest,org.apache.commons.collections4.bloomfilter,No
shape,AbstractBloomFilterExtractorTest,org.apache.commons.collections4.bloomfilter,No
from1Counts,AbstractCountingBloomFilterTest,org.apache.commons.collections4.bloomfilter,No
bigHashCounts,AbstractCountingBloomFilterTest,org.apache.commons.collections4.bloomfilter,No
bigHashValue,AbstractCountingBloomFilterTest,org.apache.commons.collections4.bloomfilter,No
values,DefaultIndexExtractorTest,org.apache.commons.collections4.bloomfilter,No
TRUE_CONSUMER,AbstractCellExtractorTest,org.apache.commons.collections4.bloomfilter,No
FALSE_CONSUMER,AbstractCellExtractorTest,org.apache.commons.collections4.bloomfilter,No
TRUE_PREDICATE,AbstractIndexExtractorTest,org.apache.commons.collections4.bloomfilter,No
FALSE_PREDICATE,AbstractIndexExtractorTest,org.apache.commons.collections4.bloomfilter,No
indices,DefaultCellExtractorTest,org.apache.commons.collections4.bloomfilter,No
values,DefaultCellExtractorTest,org.apache.commons.collections4.bloomfilter,No
dbgInstrument,LayeredBloomFilterTest,org.apache.commons.collections4.bloomfilter,No
dbg,LayeredBloomFilterTest,org.apache.commons.collections4.bloomfilter,No
dbgInstrument,TimestampedBloomFilter,org.apache.commons.collections4.bloomfilter,No
dbg,TimestampedBloomFilter,org.apache.commons.collections4.bloomfilter,No
timestamp,TimestampedBloomFilter,org.apache.commons.collections4.bloomfilter,Yes
topCities,FixedOrderComparatorTest,org.apache.commons.collections4.comparators,No
serialVersionUID,ColumnComparator,org.apache.commons.collections4.comparators,No
serialVersionUID,PseudoRow,org.apache.commons.collections4.comparators,No
serialVersionUID,IdentityMap,org.apache.commons.collections4.map,No
KEY_1,MultiKeyMapCompress672Test,org.apache.commons.collections4.map,No
multiKeyMap,MultiKeyMapCompress672Test,org.apache.commons.collections4.map,No
I1A,ReferenceIdentityMapTest,org.apache.commons.collections4.map,No
I2B,ReferenceIdentityMapTest,org.apache.commons.collections4.map,No
I2A,ReferenceIdentityMapTest,org.apache.commons.collections4.map,No
I1B,ReferenceIdentityMapTest,org.apache.commons.collections4.map,No
oneFactory,LazySortedMapTest,org.apache.commons.collections4.map,No
pass,CompositeMapTest,org.apache.commons.collections4.map,No
oneFactory,LazyMapTest,org.apache.commons.collections4.map,No
ONE,SingletonMapTest,org.apache.commons.collections4.map,No
TEN,SingletonMapTest,org.apache.commons.collections4.map,No
TWO,SingletonMapTest,org.apache.commons.collections4.map,No
TWENTY,Flat3MapTest,org.apache.commons.collections4.map,No
THIRTY,Flat3MapTest,org.apache.commons.collections4.map,No
ONE,Flat3MapTest,org.apache.commons.collections4.map,No
TEN,Flat3MapTest,org.apache.commons.collections4.map,No
TWO,Flat3MapTest,org.apache.commons.collections4.map,No
THREE,Flat3MapTest,org.apache.commons.collections4.map,No
TWENTY,TestFlatMapIterator,org.apache.commons.collections4.map,No
THIRTY,TestFlatMapIterator,org.apache.commons.collections4.map,No
ONE,TestFlatMapIterator,org.apache.commons.collections4.map,No
TEN,TestFlatMapIterator,org.apache.commons.collections4.map,No
TWO,TestFlatMapIterator,org.apache.commons.collections4.map,No
THREE,TestFlatMapIterator,org.apache.commons.collections4.map,No
verboseName,BulkTest,org.apache.commons.collections4,No
name,BulkTest,org.apache.commons.collections4,Yes
emptyList,CartesianProductIteratorTest,org.apache.commons.collections4.iterators,No
numbers,CartesianProductIteratorTest,org.apache.commons.collections4.iterators,No
letters,CartesianProductIteratorTest,org.apache.commons.collections4.iterators,No
symbols,CartesianProductIteratorTest,org.apache.commons.collections4.iterators,No
collectionA,ExtendedIteratorTest,org.apache.commons.collections4.iterators,No
iterator,FilterIteratorTest,org.apache.commons.collections4.iterators,No
array,FilterIteratorTest,org.apache.commons.collections4.iterators,No
collectionInts,FilterIteratorTest,org.apache.commons.collections4.iterators,No
list,FilterIteratorTest,org.apache.commons.collections4.iterators,No
testList,PeekingIteratorTest,org.apache.commons.collections4.iterators,No
testArray,PeekingIteratorTest,org.apache.commons.collections4.iterators,No
testValue,SingletonIteratorTest,org.apache.commons.collections4.iterators,No
testValue,SingletonListIteratorTest,org.apache.commons.collections4.iterators,No
testList,SkippingIteratorTest,org.apache.commons.collections4.iterators,No
testArray,SkippingIteratorTest,org.apache.commons.collections4.iterators,No
comparator,CollatingIteratorTest,org.apache.commons.collections4.iterators,No
odds,CollatingIteratorTest,org.apache.commons.collections4.iterators,No
fib,CollatingIteratorTest,org.apache.commons.collections4.iterators,No
evens,CollatingIteratorTest,org.apache.commons.collections4.iterators,No
testList,BoundedIteratorTest,org.apache.commons.collections4.iterators,No
testArray,BoundedIteratorTest,org.apache.commons.collections4.iterators,No
nodes,NodeListIteratorTest,org.apache.commons.collections4.iterators,No
createIteratorWithStandardConstr,NodeListIteratorTest,org.apache.commons.collections4.iterators,No
testList,PushbackIteratorTest,org.apache.commons.collections4.iterators,No
testArray,PushbackIteratorTest,org.apache.commons.collections4.iterators,No
truePred,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
list,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
falsePred,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
threePred,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
oddPred,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
random,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
threes,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
sixes,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
odds,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
evenPred,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
fourPred,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
fours,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
evens,FilterListIteratorTest,org.apache.commons.collections4.iterators,No
testValue,SingletonIterator2Test,org.apache.commons.collections4.iterators,No
odds,ZippingIteratorTest,org.apache.commons.collections4.iterators,No
fib,ZippingIteratorTest,org.apache.commons.collections4.iterators,No
evens,ZippingIteratorTest,org.apache.commons.collections4.iterators,No
cString,ClosureUtilsTest,org.apache.commons.collections4,No
ZERO,ListOrderedSet2Test,org.apache.commons.collections4.set,No
ONE,ListOrderedSet2Test,org.apache.commons.collections4.set,No
TWO,ListOrderedSet2Test,org.apache.commons.collections4.set,No
THREE,ListOrderedSet2Test,org.apache.commons.collections4.set,No
ZERO,ListOrderedSetTest,org.apache.commons.collections4.set,No
ONE,ListOrderedSetTest,org.apache.commons.collections4.set,No
TWO,ListOrderedSetTest,org.apache.commons.collections4.set,No
THREE,ListOrderedSetTest,org.apache.commons.collections4.set,No
otherElements,TestSortedSetSubSet,org.apache.commons.collections4.set,Yes
lowBound,TestSortedSetSubSet,org.apache.commons.collections4.set,No
highBound,TestSortedSetSubSet,org.apache.commons.collections4.set,No
fullElements,TestSortedSetSubSet,org.apache.commons.collections4.set,Yes
type,TestSortedSetSubSet,org.apache.commons.collections4.set,No
inclusive,TestNavigableSetSubSet,org.apache.commons.collections4.set,No
otherElements,TestNavigableSetSubSet,org.apache.commons.collections4.set,Yes
lowBound,TestNavigableSetSubSet,org.apache.commons.collections4.set,No
highBound,TestNavigableSetSubSet,org.apache.commons.collections4.set,No
fullElements,TestNavigableSetSubSet,org.apache.commons.collections4.set,Yes
type,TestNavigableSetSubSet,org.apache.commons.collections4.set,No
multiSet,MultiSetUtilsTest,org.apache.commons.collections4,No
fullArray,MultiSetUtilsTest,org.apache.commons.collections4,No
